serial	claim	rerun
# CCH wave 23 VERIFY — phantom-families-and-site-domains. Re-derivation recipes only; never derived values.
1	.env-row and .audit-row do not exist as class tokens in cloud/priv/static (only .new-env-row/.new-env-rows in the launch wizard + one comment at app.js:18934)	git grep -n 'audit-row\|env-row' origin/main -- cloud/priv/static
2	#activity feed rows carry .tlv-row (+ .tlv-row.tlv-coalesce); emitters tlvRowHtml / tlvGroupRowHtml; painted at app.js:12877	git show origin/main:cloud/priv/static/app.js | grep -n 'class="tlv-row\|function tlvRowHtml\|function tlvGroupRowHtml\|function timelineFeedHtml'
3	The overview 3-item digest uses activityRow, which emits class="fleet-row activity-row" — a DIFFERENT family from the full feed	git show origin/main:cloud/priv/static/app.js | sed -n '12638,12652p'
4	#settings/env var rows carry .set-row (children .set-row-key/.set-row-tags/.set-row-note/.set-row-side); emitter envVarRowHtml	git show origin/main:cloud/priv/static/app.js | sed -n '16758,16778p'
5	overflow-guard.mjs has ZERO selectors for .site-row/.site-host/.site-name/.tlv-row/.set-row-note; its only .set-row leg is #members-body-scoped over MEM_SCENS=["members-populated"]	git show origin/main:cloud/priv/static/__preview__/overflow-guard.mjs | grep -n 'site-row\|site-host\|site-name\|tlv-row\|set-row-note\|MEM_SCENS'
6	Guard selector census on origin/main: 68 querySelector( CALLS on 55 LINES; 15 querySelectorAll( calls on 15 lines; 2474 newline-terminated lines	G=$(git show origin/main:cloud/priv/static/__preview__/overflow-guard.mjs); printf '%s' "$G" | grep -o 'querySelector(' | wc -l; printf '%s' "$G" | grep -c 'querySelector('; printf '%s' "$G" | grep -o 'querySelectorAll(' | wc -l
7	site.domains cap = 253 via validate_change (NOT validate_length) + @domain_format at site.ex:28	git show origin/main:cloud/lib/barkpark_cloud/registry/site.ex | sed -n '28p;431,441p'
8	POST /v1/sites/:id/domains uses the 2-arity with_team_site = :session = bare Auth.require_user, NO ability/role gate — member-reachable write	git show origin/main:cloud/lib/barkpark_cloud/web/router.ex | sed -n '6551,6553p;10403,10412p'
9	add_site_domain APPENDS (existing ++ [norm]), so a cruel domain added by a member lands at domains[N], not domains[0]	git show origin/main:cloud/lib/barkpark_cloud/registry.ex | sed -n '4802,4822p'
10	Both site-list renderers pick domains[0] only; app.js contains ZERO uses of domains.length or domains.slice — no "+N more" affordance anywhere	git show origin/main:cloud/priv/static/app.js | grep -n 'domains\[0\]\|domains.length\|domains\.slice'
11	Across all 101 scenarios the longest fixture domain is 15 chars and the longest site name 13; fleet-cruel-content carries ZERO sites	git show origin/main:cloud/priv/static/__preview__/scenarios.mjs > /tmp/scen.mjs; node -e 'import("/tmp/scen.mjs").then(m=>{let x=0;for(const v of Object.values(m.SCENARIOS))for(const s of ((v.data&&v.data.sites)||[]))for(const d of (s.domains||[]))x=Math.max(x,d.length);console.log(x)})'
12	Populations: sites=6 .site-row--global · activity=7 audit entries · env-populated=4 env vars · members-populated=3 members	git show origin/main:cloud/priv/static/__preview__/scenarios.mjs > /tmp/scen.mjs; node -e 'import("/tmp/scen.mjs").then(m=>{for(const k of ["sites","activity","env-populated","members-populated"]){const d=m.SCENARIOS[k].data;console.log(k,(d.sites||[]).length,(d.audit||[]).length,(d.env_vars||[]).length,(d.members||[]).length)}})'
13	The site-row cruel guard leg is ALREADY FILED and open with ZERO acceptance criteria	bp task get task-696a2fcf95e9c4da -o json
